"TOA5","GCREW_MET","CR1000","85321","CR1000.Std.31.03","CPU:GCREW_METv4.CR1","25603","GCREW_MET_15min"
"TIMESTAMP","RECORD","Statname","Rain_in_Tot","Rain_cm_Tot","AirTC_Avg","RH","CleanRH","VP","VPD","SVP","Barometric_Pressure_PB110B","Barometric_Pressure_PB110B_Avg","SlrW_Avg","SlrMJ_Tot","PAR_Den_C_Avg","PAR_Tot_C_Tot","Temp10cm_Avg","Temp25cm_Avg","Temp90cm_Avg","Above75cm_plate_Avg","Aquatroll_ID(2)","Depth","Temperature","Actual_Conductivity","Specific_Conductivity","Salinity","TDS","Water_Density","Pressure","Resistivity","WindDir_RM_Avg","WindDir_RM","WS_ms_RM_Max","WS_ms_RM_Min","WS_ms_RM_Avg","WS_ms_RM","WindDir_WS_Avg","WindDir_WS","WS_ms_WS_Max","WS_ms_WS_Min","WS_ms_WS_Avg","WS_ms_WS"
"TS","RN","","inch","cm","°C","%","%","kPa","Pa","Pa","mbar","mbar","W/m²","MJ/m²","micromols/s/m^2","mmol/m^2second","C","C","C","C","","cm","C","uS/cm","uS/cm","PSU","ppt","g/cm3","PSI","ohm-cm","degrees","degrees","m/s","m/s","m/s","m/s","degrees","degrees","m/s","m/s","m/s","m/s"
"","","Smp","Tot","Tot","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Tot","Avg","Tot","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Max","Min","Avg","Smp","Avg","Smp","Max","Min","Avg","Smp"
"2023-02-08 02:00:00",56316,"NAN",0,0,4.786,89.5,0,0,1.339565,1.339565,1020.443,1020.477,0.003,0,0.167,0,0.894,2.396,7.446,"NAN","213IN-SITU AT200 201000",54.17189,4.500778,10173.1,16719.29,9.52673,10.86754,1.007553,0.780294,98.30537,268.5534,179.4436,1.0976,0,0.3678266,0.7056,258.6111,176,1.33,0.1,0.6317778,0.94
"2023-02-08 02:15:00",56317,"NAN",0,0,4.773,90.2,0,0,1.298786,1.298786,1020.607,1020.402,0.003,0,0.197,0,0.888,2.392,7.443,"NAN","213IN-SITU AT200 201000",54.11872,4.499382,10170.6,16715.92,9.52459,10.86535,1.007553,0.779376,98.31534,247.6784,259.6107,0.8624,0,0.1944755,0,245.35,267,1.03,0.19,0.4950555,0.38
"2023-02-08 02:30:00",56318,"NAN",0,0,4.692,90.6,0,0,1.280646,1.280646,1020.443,1020.276,0.005,0,0.222,0,0.889,2.386,7.437,"NAN","213IN-SITU AT200 201000",54.0834,4.497498,10171.57,16718.5,9.52608,10.86702,1.007556,0.778413,98.28434,221.1911,268.3056,0.8036,0,0.3475733,0.3724,216.9833,270,0.97,0.24,0.6085555,0.73
"2023-02-08 02:45:00",56319,"NAN",0,0,4.793,89.8,0,0,1.267033,1.267033,1020.362,1020.215,0.003,0,0.214,0,0.889,2.383,7.436,"NAN","213IN-SITU AT200 201000",54.04476,4.496208,10170.89,16718.06,9.52575,10.86674,1.007552,0.777769,98.33222,265.4622,283.5882,0.882,0,0.18032,0,201.9444,319,1.22,0.03,0.3892778,0.32
"2023-02-08 03:00:00",56320,"NAN",0,0,4.62,90,0,0,1.207982,1.207982,1020.116,1020.092,0.006,0,0.205,0,0.894,2.384,7.435,"NAN","213IN-SITU AT200 201000",53.97546,4.495003,10166.8,16711.96,9.52194,10.86278,1.007549,0.778928,98.37593,253.6033,340.0443,0.7644,0,0.1508111,0.6664,247.7056,331,0.96,0.05,0.4610555,0.83
"2023-02-08 03:15:00",56321,"NAN",0,0,4.375,91.2,0,0,1.171589,1.171589,1020.034,1020.03,0.006,0,0.162,0,0.888,2.377,7.427,"NAN","213IN-SITU AT200 201000",53.94552,4.493233,10168.98,16716.49,9.52463,10.86571,1.007553,0.776403,98.33572,256.5362,187.9689,1.0388,0,0.3934155,0.392,242.7,172,1.4,0.11,0.6717778,0.65
"2023-02-08 03:30:00",56322,"NAN",0,0,4.489,90.5,0,0,1.244334,1.244334,1019.87,1019.791,0.011,0,0.103,0,0.894,2.375,7.424,"NAN","213IN-SITU AT200 201000",53.91276,4.491547,10169.2,16717.73,9.5253,10.86652,1.007551,0.775722,98.36524,207.6575,21.0469,1.0976,0,0.3845955,0.196,196.4889,10,1.33,0.09,0.6162778,0.63
"2023-02-08 03:45:00",56323,"NAN",0,0,4.583,90.7,0,0,1.230707,1.230707,1019.952,1019.902,0.005,0,0.133,0,0.901,2.377,7.428,"NAN","213IN-SITU AT200 201000",53.96936,4.490746,10166.83,16714.26,9.52313,10.86427,1.00755,0.775023,98.38273,263.9031,216.7419,0.9604,0,0.2499,0,232.1444,257,1.3,0.01,0.4907778,0.24
"2023-02-08 04:00:00",56324,"NAN",0,0,4.525,91,0,0,1.248875,1.248875,1020.198,1019.955,0.021,0,0.034,0,0.898,2.373,7.424,"NAN","213IN-SITU AT200 201000",53.9163,4.489365,10167.26,16715.68,9.52394,10.86519,1.007551,0.776072,98.37593,276.5936,339.6084,0.5096,0,0.08199333,0,256.0611,356,0.82,0.05,0.3317222,0.37
"2023-02-08 04:15:00",56325,"NAN",0,0,4.524,91.1,0,0,1.230707,1.230707,1020.443,1020.098,0.011,0,0.107,0,0.919,2.385,7.439,"NAN","213IN-SITU AT200 201000",53.85834,4.488869,10167.11,16715.7,9.52392,10.8652,1.007551,0.773968,98.37519,284.0787,313.9355,0.4312,0,0.07927111,0.1764,281.7333,315,0.72,0.16,0.4239444,0.6
"2023-02-08 04:30:00",56326,"NAN",0,0,4.475,91.4,0,0,1.230707,1.230707,1020.28,1020.251,0.001,0,0.209,0,0.924,2.387,7.438,"NAN","213IN-SITU AT200 201000",53.80344,4.487473,10164.36,16711.9,9.52152,10.86273,1.007551,0.775575,98.37149,290.1185,212.4793,0.3136,0,0.02471778,0,252.9167,196,0.6,0.05,0.3308889,0.17
"2023-02-08 04:45:00",56327,"NAN",0,0,4.452,91.9,0,0,1.248875,1.248875,1020.443,1020.328,0.001,0,0.244,0,0.932,2.388,7.438,"NAN","213IN-SITU AT200 201000",53.79916,4.486679,10164.41,16712.4,9.52178,10.86306,1.00755,0.773412,98.39525,212.4184,212.4066,0,0,0,0,185.9667,180,0.39,0.02,0.1716111,0.03
