ensemble,cycle,reference_datetime,datetime,site_id,model_id,parameter,variable,horizon,prediction
gec00,00,2023-05-22,2023-05-23,gcrew,noaa_gefs,00,AirTemp_C_mean,1,15.418935394287132
gec00,00,2023-05-22,2023-05-23,gcrew,noaa_gefs,00,Pressure_Pa,1,102267.6748046875
gec00,00,2023-05-22,2023-05-23,gcrew,noaa_gefs,00,RH_percent_mean,1,73.97201585769653
gec00,00,2023-05-22,2023-05-23,gcrew,noaa_gefs,00,Rain_mm_sum,1,0
gec00,00,2023-05-22,2023-05-23,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,1,286.375
gec00,00,2023-05-22,2023-05-23,gcrew,noaa_gefs,00,WindSpeed_ms_mean,1,4.059015361359013
gec00,00,2023-05-22,2023-05-24,gcrew,noaa_gefs,00,AirTemp_C_mean,2,15.532098388671898
gec00,00,2023-05-22,2023-05-24,gcrew,noaa_gefs,00,Pressure_Pa,2,101592.8759765625
gec00,00,2023-05-22,2023-05-24,gcrew,noaa_gefs,00,RH_percent_mean,2,65.72184991836548
gec00,00,2023-05-22,2023-05-24,gcrew,noaa_gefs,00,Rain_mm_sum,2,0
gec00,00,2023-05-22,2023-05-24,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,2,295.25
gec00,00,2023-05-22,2023-05-24,gcrew,noaa_gefs,00,WindSpeed_ms_mean,2,3.0164850195953288
gec00,00,2023-05-22,2023-05-25,gcrew,noaa_gefs,00,AirTemp_C_mean,3,15.176416015625023
gec00,00,2023-05-22,2023-05-25,gcrew,noaa_gefs,00,Pressure_Pa,3,101736.6044921875
gec00,00,2023-05-22,2023-05-25,gcrew,noaa_gefs,00,RH_percent_mean,3,66.57023859024048
gec00,00,2023-05-22,2023-05-25,gcrew,noaa_gefs,00,Rain_mm_sum,3,0
gec00,00,2023-05-22,2023-05-25,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,3,344.125
gec00,00,2023-05-22,2023-05-25,gcrew,noaa_gefs,00,WindSpeed_ms_mean,3,5.370904168537704
gec00,00,2023-05-22,2023-05-26,gcrew,noaa_gefs,00,AirTemp_C_mean,4,13.96127853393557
gec00,00,2023-05-22,2023-05-26,gcrew,noaa_gefs,00,Pressure_Pa,4,102184.6826171875
gec00,00,2023-05-22,2023-05-26,gcrew,noaa_gefs,00,RH_percent_mean,4,66.18594932556152
gec00,00,2023-05-22,2023-05-26,gcrew,noaa_gefs,00,Rain_mm_sum,4,0
gec00,00,2023-05-22,2023-05-26,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,4,344.75
gec00,00,2023-05-22,2023-05-26,gcrew,noaa_gefs,00,WindSpeed_ms_mean,4,2.878129726230927
gec00,00,2023-05-22,2023-05-27,gcrew,noaa_gefs,00,AirTemp_C_mean,5,14.90778503417971
gec00,00,2023-05-22,2023-05-27,gcrew,noaa_gefs,00,Pressure_Pa,5,102197.4140625
gec00,00,2023-05-22,2023-05-27,gcrew,noaa_gefs,00,RH_percent_mean,5,59.70314931869507
gec00,00,2023-05-22,2023-05-27,gcrew,noaa_gefs,00,Rain_mm_sum,5,0
gec00,00,2023-05-22,2023-05-27,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,5,287.125
gec00,00,2023-05-22,2023-05-27,gcrew,noaa_gefs,00,WindSpeed_ms_mean,5,4.353995090158692
gec00,00,2023-05-22,2023-05-28,gcrew,noaa_gefs,00,AirTemp_C_mean,6,14.06562194824221
gec00,00,2023-05-22,2023-05-28,gcrew,noaa_gefs,00,Pressure_Pa,6,101587.037109375
gec00,00,2023-05-22,2023-05-28,gcrew,noaa_gefs,00,RH_percent_mean,6,88.32865905761719
gec00,00,2023-05-22,2023-05-28,gcrew,noaa_gefs,00,Rain_mm_sum,6,14.600000150501728
gec00,00,2023-05-22,2023-05-28,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,6,20.625
gec00,00,2023-05-22,2023-05-28,gcrew,noaa_gefs,00,WindSpeed_ms_mean,6,5.843510925072135
gec00,00,2023-05-22,2023-05-29,gcrew,noaa_gefs,00,AirTemp_C_mean,7,16.660333251953148
gec00,00,2023-05-22,2023-05-29,gcrew,noaa_gefs,00,Pressure_Pa,7,101293.759765625
gec00,00,2023-05-22,2023-05-29,gcrew,noaa_gefs,00,RH_percent_mean,7,93.68382549285889
gec00,00,2023-05-22,2023-05-29,gcrew,noaa_gefs,00,Rain_mm_sum,7,3.8600001260638237
gec00,00,2023-05-22,2023-05-29,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,7,115.5
gec00,00,2023-05-22,2023-05-29,gcrew,noaa_gefs,00,WindSpeed_ms_mean,7,5.7405520705203745
gec00,00,2023-05-22,2023-05-30,gcrew,noaa_gefs,00,AirTemp_C_mean,8,16.62027511596682
gec00,00,2023-05-22,2023-05-30,gcrew,noaa_gefs,00,Pressure_Pa,8,101618.166015625
gec00,00,2023-05-22,2023-05-30,gcrew,noaa_gefs,00,RH_percent_mean,8,89.07103729248047
gec00,00,2023-05-22,2023-05-30,gcrew,noaa_gefs,00,Rain_mm_sum,8,1.160000003874302
gec00,00,2023-05-22,2023-05-30,gcrew,noaa_gefs,00,ShortwaveRadiation_Wm2,8,155.875
gec00,00,2023-05-22,2023-05-30,gcrew,noaa_gefs,00,WindSpeed_ms_mean,8,4.512711311404707
gec00,00,2023-05-22,2023-05-31,gcrew,noaa_gefs,00,AirTemp_C_mean,9,16.93472115652904
gec00,00,2023-05-22,2023-05-31,gcrew,noaa_gefs,00,Pressure_Pa,9,101722.27790178571
gec00,00,2023-05-22,2023-05-31,gcrew,noaa_gefs,00,RH_percent_mean,9,87.95100729806083
gec00,00,2023-05-22,2023-05-31,gcrew,noaa_gefs,00,Rain_mm_sum,9,0.10000000149011612
